"VarName","TimeString","VarValue","Validity","Time_ms"
"Act_Weight","11/25/2024 12:05:11 PM",0,1,45621503603.4722
"Act_Temp_Say","11/25/2024 12:05:11 PM",11.25,1,45621503603.4722
"Act_Temp_Hap","11/25/2024 12:05:11 PM",60.35001,1,45621503603.4722
"Act_Weight","11/25/2024 12:05:16 PM",0,1,45621503661.7708
"Act_Temp_Say","11/25/2024 12:05:16 PM",11.25,1,45621503661.7708
"Act_Temp_Hap","11/25/2024 12:05:16 PM",54.10001,1,45621503661.7708
"Act_Weight","11/25/2024 12:05:21 PM",0,1,45621503720.0463
"Act_Temp_Say","11/25/2024 12:05:21 PM",11.25,1,45621503720.0463
"Act_Temp_Hap","11/25/2024 12:05:21 PM",47.85001,1,45621503720.0463
"Act_Weight","11/25/2024 12:05:26 PM",0,1,45621503778.3102
"Act_Temp_Say","11/25/2024 12:05:26 PM",11.25,1,45621503778.3102
"Act_Temp_Hap","11/25/2024 12:05:26 PM",41.60001,1,45621503778.3102
"Act_Weight","11/25/2024 12:05:31 PM",0,1,45621503836.5625
"Act_Temp_Say","11/25/2024 12:05:31 PM",11.25,1,45621503836.5625
"Act_Temp_Hap","11/25/2024 12:05:31 PM",35.35001,1,45621503836.5625
"Act_Weight","11/25/2024 12:05:37 PM",0,1,45621503894.8264
"Act_Temp_Say","11/25/2024 12:05:37 PM",6.950004,1,45621503894.8264
"Act_Temp_Hap","11/25/2024 12:05:37 PM",29.10001,1,45621503894.8264
"Act_Weight","11/25/2024 12:05:42 PM",0,1,45621503953.0787
"Act_Temp_Say","11/25/2024 12:05:42 PM",0,1,45621503953.0787
"Act_Temp_Hap","11/25/2024 12:05:42 PM",22.85001,1,45621503953.0787
"Act_Weight","11/25/2024 12:05:47 PM",3.1,1,45621504011.3194
"Act_Temp_Say","11/25/2024 12:05:47 PM",0,1,45621504011.3194
"Act_Temp_Hap","11/25/2024 12:05:47 PM",16.60001,1,45621504011.3194
"Act_Weight","11/25/2024 12:05:52 PM",10.85,1,45621504069.5602
"Act_Temp_Say","11/25/2024 12:05:52 PM",0,1,45621504069.5602
"Act_Temp_Hap","11/25/2024 12:05:52 PM",10.35001,1,45621504069.5602
"Act_Weight","11/25/2024 12:05:57 PM",18.6,1,45621504127.8241
"Act_Temp_Say","11/25/2024 12:05:57 PM",0,1,45621504127.8241
"Act_Temp_Hap","11/25/2024 12:05:57 PM",4.100014,1,45621504127.8241
"Act_Weight","11/25/2024 12:06:02 PM",23.79,1,45621504186.1111
"Act_Temp_Say","11/25/2024 12:06:02 PM",0,1,45621504186.1111
"Act_Temp_Hap","11/25/2024 12:06:02 PM",0,1,45621504186.1111
"Act_Weight","11/25/2024 12:06:07 PM",10.99,1,45621504244.3519
"Act_Temp_Say","11/25/2024 12:06:07 PM",0,1,45621504244.3519
"Act_Temp_Hap","11/25/2024 12:06:07 PM",1.65,1,45621504244.3519
"Act_Weight","11/25/2024 12:06:12 PM",0,1,45621504302.6273
"Act_Temp_Say","11/25/2024 12:06:12 PM",0,1,45621504302.6273
"Act_Temp_Hap","11/25/2024 12:06:12 PM",11.025,1,45621504302.6273
"$RT_OFF$","11/25/2024 12:06:16 PM",0,2,45621504353.912
"$RT_OFF$","11/25/2024 12:08:04 PM",0,2,45621505599.3634
"$RT_OFF$","11/25/2024 12:10:46 PM",0,2,45621507472.7431
"$RT_OFF$","11/25/2024 12:12:37 PM",0,2,45621508757.0023
"$RT_OFF$","11/27/2024 8:30:23 PM",0,2,45623854432.8588
"$RT_OFF$","11/27/2024 8:33:06 PM",0,2,45623856318.4144
"$RT_COUNT$",154,,,,
